hypothesis,effect_pp,base_prompts,total_responses,human_double_annotated_responses,discordance_rate,within_prompt_icc,maximum_disagreement_fraction,replicates,mean_estimate_pp,power_95pct_cluster_interval_excludes_zero,monte_carlo_se
H1,1.0,1680,5040,300,0.1,0.25,0.6,1000,1.0130480599647267,0.269,0.014022802858202064
H1,1.0,1680,5040,400,0.1,0.25,0.6,1000,1.0264631283068781,0.361,0.01518812035770062
H1,1.0,1680,5040,500,0.1,0.25,0.6,1000,0.9898988095238096,0.415,0.015581238718407466
H1,1.0,1680,5040,600,0.1,0.25,0.6,1000,1.0083284832451498,0.481,0.01579996835439869
H1,1.0,1680,5040,800,0.1,0.25,0.6,1000,1.0061193783068785,0.59,0.01555313473226539
H1,1.5,1680,5040,300,0.1,0.25,0.6,1000,1.4770432098765434,0.515,0.01580427157448264
H1,1.5,1680,5040,400,0.1,0.25,0.6,1000,1.5253543320105822,0.649,0.015093011627902497
H1,1.5,1680,5040,500,0.1,0.25,0.6,1000,1.4627002645502647,0.704,0.014435511767859151
H1,1.5,1680,5040,600,0.1,0.25,0.6,1000,1.4987204585537919,0.809,0.012430567163247216
H1,1.5,1680,5040,800,0.1,0.25,0.6,1000,1.4822523148148148,0.905,0.009272270487857868
H1,2.0,1680,5040,300,0.1,0.25,0.6,1000,2.0176106701940038,0.781,0.013078187947877183
H1,2.0,1680,5040,400,0.1,0.25,0.6,1000,2.0013639219576715,0.875,0.010458250331675944
H1,2.0,1680,5040,500,0.1,0.25,0.6,1000,2.0194739417989416,0.95,0.006892024376045114
H1,2.0,1680,5040,600,0.1,0.25,0.6,1000,2.00688458994709,0.967,0.005648982209212561
H1,2.0,1680,5040,800,0.1,0.25,0.6,1000,2.0069360119047617,0.996,0.0019959959919799443
H1,3.5000000000000004,1680,5040,300,0.1,0.25,0.6,1000,3.4774556878306884,0.996,0.0019959959919799443
H1,3.5000000000000004,1680,5040,400,0.1,0.25,0.6,1000,3.5249922288359783,1.0,0.0
H1,3.5000000000000004,1680,5040,500,0.1,0.25,0.6,1000,3.5195542328042317,1.0,0.0
H1,3.5000000000000004,1680,5040,600,0.1,0.25,0.6,1000,3.4995439814814815,1.0,0.0
H1,3.5000000000000004,1680,5040,800,0.1,0.25,0.6,1000,3.514705853174603,1.0,0.0
H1,5.0,1680,5040,300,0.1,0.25,0.6,1000,5.001498456790124,1.0,0.0
H1,5.0,1680,5040,400,0.1,0.25,0.6,1000,5.0115651455026455,1.0,0.0
H1,5.0,1680,5040,500,0.1,0.25,0.6,1000,4.983220105820106,1.0,0.0
H1,5.0,1680,5040,600,0.1,0.25,0.6,1000,5.0246601631393295,1.0,0.0
H1,5.0,1680,5040,800,0.1,0.25,0.6,1000,5.009047123015873,1.0,0.0
H1,7.000000000000001,1680,5040,300,0.1,0.25,0.6,1000,6.971628527336861,1.0,0.0
H1,7.000000000000001,1680,5040,400,0.1,0.25,0.6,1000,7.006416832010583,1.0,0.0
H1,7.000000000000001,1680,5040,500,0.1,0.25,0.6,1000,6.994696296296297,1.0,0.0
H1,7.000000000000001,1680,5040,600,0.1,0.25,0.6,1000,7.021370039682538,1.0,0.0
H1,7.000000000000001,1680,5040,800,0.1,0.25,0.6,1000,7.009977761243386,1.0,0.0
H3,2.0,1680,5040,300,0.1,0.25,0.6,1000,1.9532917438271604,0.212,0.012925014506761685
H3,2.0,1680,5040,400,0.1,0.25,0.6,1000,2.0300455439814815,0.265,0.013956181426163821
H3,2.0,1680,5040,500,0.1,0.25,0.6,1000,1.883963472222222,0.318,0.014726710426975875
H3,2.0,1680,5040,600,0.1,0.25,0.6,1000,1.9860241898148148,0.388,0.015409607392792329
H3,2.0,1680,5040,800,0.1,0.25,0.6,1000,1.9762365451388888,0.476,0.01579316307773715
H3,2.5,1680,5040,300,0.1,0.25,0.6,1000,2.468583950617284,0.3,0.014491376746189439
H3,2.5,1680,5040,400,0.1,0.25,0.6,1000,2.5130913194444444,0.42,0.015607690412101338
H3,2.5,1680,5040,500,0.1,0.25,0.6,1000,2.538063564814815,0.519,0.01579996835439869
H3,2.5,1680,5040,600,0.1,0.25,0.6,1000,2.546514429012346,0.592,0.015541428505771277
H3,2.5,1680,5040,800,0.1,0.25,0.6,1000,2.566097019675926,0.704,0.014435511767859151
H3,3.0,1680,5040,300,0.1,0.25,0.6,1000,2.9544797839506174,0.428,0.015646597074124458
H3,3.0,1680,5040,400,0.1,0.25,0.6,1000,2.984163136574074,0.527,0.01578831846651188
H3,3.0,1680,5040,500,0.1,0.25,0.6,1000,3.026313796296296,0.65,0.015083103128998356
H3,3.0,1680,5040,600,0.1,0.25,0.6,1000,3.025154205246914,0.736,0.013939296969359681
H3,3.0,1680,5040,800,0.1,0.25,0.6,1000,2.9804067997685184,0.821,0.012122664723566351
H3,3.5000000000000004,1680,5040,300,0.1,0.25,0.6,1000,3.528807793209877,0.579,0.015612783224012303
H3,3.5000000000000004,1680,5040,400,0.1,0.25,0.6,1000,3.4825710069444438,0.673,0.014834790190629592
H3,3.5000000000000004,1680,5040,500,0.1,0.25,0.6,1000,3.4565191203703702,0.784,0.013013224043256921
H3,3.5000000000000004,1680,5040,600,0.1,0.25,0.6,1000,3.4689995756172842,0.858,0.011037934589405756
H3,3.5000000000000004,1680,5040,800,0.1,0.25,0.6,1000,3.5732892071759252,0.925,0.00832916562447884
