hypothesis,effect_pp,base_prompts,total_responses,human_double_annotated_responses,discordance_rate,within_prompt_icc,replicates,mean_estimate_pp,power_95pct_cluster_interval_excludes_zero,monte_carlo_se
H1,2.0,1680,5040,800,0.03,0.0,1000,1.9875793650793647,1.0,0.0
H1,2.0,1680,5040,800,0.03,0.1,1000,2.0095436507936504,1.0,0.0
H1,2.0,1680,5040,800,0.03,0.25,1000,1.993928571428571,1.0,0.0
H1,2.0,1680,5040,800,0.03,0.4,1000,1.9891666666666665,1.0,0.0
H1,2.0,1680,5040,800,0.06,0.0,1000,1.985178571428571,0.999,0.0009994998749374613
H1,2.0,1680,5040,800,0.06,0.1,1000,1.9985912698412698,1.0,0.0
H1,2.0,1680,5040,800,0.06,0.25,1000,2.003313492063492,1.0,0.0
H1,2.0,1680,5040,800,0.06,0.4,1000,2.021428571428572,1.0,0.0
H1,2.0,1680,5040,800,0.1,0.0,1000,1.994563244047619,0.997,0.0017294507798720387
H1,2.0,1680,5040,800,0.1,0.1,1000,1.9729829695767194,0.991,0.0029864694875387575
H1,2.0,1680,5040,800,0.1,0.25,1000,2.024556960978836,0.99,0.003146426544510456
H1,2.0,1680,5040,800,0.1,0.4,1000,1.9876762566137562,0.995,0.002230470802319547
H2,2.0,1680,5040,800,0.03,0.0,1000,1.9967857142857142,1.0,0.0
H2,2.0,1680,5040,800,0.03,0.1,1000,1.996547619047619,1.0,0.0
H2,2.0,1680,5040,800,0.03,0.25,1000,2.001587301587301,1.0,0.0
H2,2.0,1680,5040,800,0.03,0.4,1000,1.996111111111111,1.0,0.0
H2,2.0,1680,5040,800,0.06,0.0,1000,2.00031746031746,1.0,0.0
H2,2.0,1680,5040,800,0.06,0.1,1000,2.019960317460317,1.0,0.0
H2,2.0,1680,5040,800,0.06,0.25,1000,1.9961507936507936,1.0,0.0
H2,2.0,1680,5040,800,0.06,0.4,1000,2.013690476190476,1.0,0.0
H2,2.0,1680,5040,800,0.1,0.0,1000,1.999073991402116,1.0,0.0
H2,2.0,1680,5040,800,0.1,0.1,1000,2.001363673941799,1.0,0.0
H2,2.0,1680,5040,800,0.1,0.25,1000,2.0077283399470898,1.0,0.0
H2,2.0,1680,5040,800,0.1,0.4,1000,2.000064318783069,1.0,0.0
H3,3.5000000000000004,1680,5040,800,0.06,0.0,1000,3.5047638888888883,0.997,0.0017294507798720387
H3,3.5000000000000004,1680,5040,800,0.06,0.1,1000,3.500944444444445,0.994,0.002442130217658347
H3,3.5000000000000004,1680,5040,800,0.06,0.25,1000,3.5020416666666665,0.997,0.0017294507798720387
H3,3.5000000000000004,1680,5040,800,0.06,0.4,1000,3.4494305555555558,0.987,0.0035820385257559714
H3,3.5000000000000004,1680,5040,800,0.1,0.0,1000,3.5480615740740746,0.949,0.006956938982052382
H3,3.5000000000000004,1680,5040,800,0.1,0.1,1000,3.499416145833334,0.932,0.00796090447122687
H3,3.5000000000000004,1680,5040,800,0.1,0.25,1000,3.5267037037037032,0.942,0.007391616873188169
H3,3.5000000000000004,1680,5040,800,0.1,0.4,1000,3.516060995370371,0.917,0.008724161850859943
