hypothesis,effect_pp,base_prompts,total_responses,human_double_annotated_responses,discordance_rate,within_prompt_icc,replicates,mean_estimate_pp,power_95pct_cluster_interval_excludes_zero,monte_carlo_se
H1,1.0,420,1260,400,0.1,0.25,1000,1.0376190476190477,0.22,0.013099618315050252
H1,1.0,420,1260,600,0.1,0.25,1000,0.9744444444444442,0.198,0.012601428490452978
H1,1.0,420,1260,800,0.1,0.25,1000,1.0351587301587302,0.213,0.012947239087929134
H1,1.0,420,1260,1000,0.1,0.25,1000,1.0152380952380953,0.208,0.0128349522788361
H1,1.0,840,2520,400,0.1,0.25,1000,1.0048171296296295,0.332,0.014892145580808697
H1,1.0,840,2520,600,0.1,0.25,1000,1.0174603174603174,0.375,0.015309310892394862
H1,1.0,840,2520,800,0.1,0.25,1000,1.0267063492063493,0.369,0.015259062880793171
H1,1.0,840,2520,1000,0.1,0.25,1000,0.989325396825397,0.34,0.014979986648859203
H1,1.0,1260,3780,400,0.1,0.25,1000,0.9898835978835979,0.318,0.014726710426975875
H1,1.0,1260,3780,600,0.1,0.25,1000,1.0048932980599647,0.466,0.01577479001445027
H1,1.0,1260,3780,800,0.1,0.25,1000,0.9979629629629629,0.495,0.01581059771166163
H1,1.0,1260,3780,1000,0.1,0.25,1000,1.005978835978836,0.504,0.01581088232832058
H1,1.0,1680,5040,400,0.1,0.25,1000,1.0286674933862434,0.366,0.01523299051401267
H1,1.0,1680,5040,600,0.1,0.25,1000,1.0001849647266314,0.478,0.015796075461962062
H1,1.0,1680,5040,800,0.1,0.25,1000,0.9523438326719578,0.529,0.01578477114183161
H1,1.0,1680,5040,1000,0.1,0.25,1000,1.041547619047619,0.656,0.015022117027902558
H1,2.0,420,1260,400,0.1,0.25,1000,2.020793650793651,0.615,0.015387494922826133
H1,2.0,420,1260,600,0.1,0.25,1000,1.9828571428571429,0.603,0.01547226550961429
H1,2.0,420,1260,800,0.1,0.25,1000,1.992142857142857,0.606,0.015451990163082553
