human_double_annotated_responses,maximum_disagreement_fraction,maximum_disagreement_count,expected_disagreement_pool_at_10pct,expected_sampled_disagreements,expected_agreement_controls,hypothesis,effect_pp,base_prompts,total_responses,discordance_rate,within_prompt_icc,replicates,mean_estimate_pp,power_95pct_cluster_interval_excludes_zero,monte_carlo_se
300,0.4,120,504,120,180,H1,2.0,1680,5040,0.1,0.25,1000,2.005881613756614,0.608,0.015438134602341048
300,0.4,120,504,120,180,H3,3.0,1680,5040,0.1,0.25,1000,2.938142939814815,0.301,0.014505137021069467
300,0.4,120,504,120,180,H3,3.5000000000000004,1680,5040,0.1,0.25,1000,3.5885041666666666,0.426,0.015637263187655313
300,0.5,150,504,150,150,H1,2.0,1680,5040,0.1,0.25,1000,2.024745767195767,0.702,0.01446360950800318
300,0.5,150,504,150,150,H3,3.0,1680,5040,0.1,0.25,1000,2.952282407407407,0.361,0.01518812035770062
300,0.5,150,504,150,150,H3,3.5000000000000004,1680,5040,0.1,0.25,1000,3.5423626851851853,0.504,0.01581088232832058
300,0.6,180,504,180,120,H1,2.0,1680,5040,0.1,0.25,1000,2.0059395943562612,0.761,0.01348625225924534
300,0.6,180,504,180,120,H3,3.0,1680,5040,0.1,0.25,1000,3.061480864197531,0.459,0.015758140753274162
300,0.6,180,504,180,120,H3,3.5000000000000004,1680,5040,0.1,0.25,1000,3.5288600308641977,0.567,0.015668790636165896
300,0.7,210,504,210,90,H1,2.0,1680,5040,0.1,0.25,1000,1.9904389644746785,0.819,0.012175343937647102
300,0.7,210,504,210,90,H3,3.0,1680,5040,0.1,0.25,1000,2.9823771164021164,0.494,0.015810249839898167
300,0.7,210,504,210,90,H3,3.5000000000000004,1680,5040,0.1,0.25,1000,3.523709457671957,0.632,0.015250442616527561
300,0.8,240,504,240,60,H1,2.0,1680,5040,0.1,0.25,1000,1.9816299603174603,0.881,0.010239091756596383
300,0.8,240,504,240,60,H3,3.0,1680,5040,0.1,0.25,1000,2.9686256944444445,0.55,0.015732132722552274
300,0.8,240,504,240,60,H3,3.5000000000000004,1680,5040,0.1,0.25,1000,3.5060960648148156,0.687,0.014663935351739654
400,0.4,160,504,160,240,H1,2.0,1680,5040,0.1,0.25,1000,2.021543650793651,0.728,0.014071815803228808
400,0.4,160,504,160,240,H3,3.0,1680,5040,0.1,0.25,1000,2.9643342881944443,0.386,0.015394934231752989
400,0.4,160,504,160,240,H3,3.5000000000000004,1680,5040,0.1,0.25,1000,3.437594618055556,0.475,0.015791611697353755
400,0.5,200,504,200,200,H1,2.0,1680,5040,0.1,0.25,1000,2.0253559523809526,0.827,0.011961229033840963
400,0.5,200,504,200,200,H3,3.0,1680,5040,0.1,0.25,1000,3.0034338194444445,0.479,0.015797436500901024
400,0.5,200,504,200,200,H3,3.5000000000000004,1680,5040,0.1,0.25,1000,3.5494718055555556,0.634,0.01523299051401267
400,0.6,240,504,240,160,H1,2.0,1680,5040,0.1,0.25,1000,2.018703538359788,0.88,0.010276186062932104
400,0.6,240,504,240,160,H3,3.0,1680,5040,0.1,0.25,1000,3.014255729166667,0.545,0.015747221977225064
400,0.6,240,504,240,160,H3,3.5000000000000004,1680,5040,0.1,0.25,1000,3.5500634837962965,0.702,0.01446360950800318
400,0.7,280,504,280,120,H1,2.0,1680,5040,0.1,0.25,1000,1.9797390873015872,0.927,0.008226238508577293
400,0.7,280,504,280,120,H3,3.0,1680,5040,0.1,0.25,1000,2.985908630952381,0.607,0.015445096309184997
400,0.7,280,504,280,120,H3,3.5000000000000004,1680,5040,0.1,0.25,1000,3.4686852678571425,0.748,0.013729384545565033
400,0.8,320,504,320,80,H1,2.0,1680,5040,0.1,0.25,1000,2.0135388144841273,0.95,0.006892024376045114
400,0.8,320,504,320,80,H3,3.0,1680,5040,0.1,0.25,1000,2.978839019097222,0.67,0.014869431730903503
400,0.8,320,504,320,80,H3,3.5000000000000004,1680,5040,0.1,0.25,1000,3.513037022569445,0.826,0.011988494484296184
500,0.4,200,504,200,300,H1,2.0,1680,5040,0.1,0.25,1000,2.007299007936508,0.814,0.012304633273690038
500,0.4,200,504,200,300,H3,3.0,1680,5040,0.1,0.25,1000,3.0578182638888887,0.482,0.01580113919943749
500,0.4,200,504,200,300,H3,3.5000000000000004,1680,5040,0.1,0.25,1000,3.494529027777777,0.603,0.01547226550961429
500,0.5,250,504,250,250,H1,2.0,1680,5040,0.1,0.25,1000,1.968116825396825,0.872,0.010564847372300274
500,0.5,250,504,250,250,H3,3.0,1680,5040,0.1,0.25,1000,2.9590614444444445,0.549,0.01573527883451704
500,0.5,250,504,250,250,H3,3.5000000000000004,1680,5040,0.1,0.25,1000,3.431716611111111,0.697,0.014532412050310162
500,0.6,300,504,300,200,H1,2.0,1680,5040,0.1,0.25,1000,1.9925933862433864,0.928,0.00817410545564467
500,0.6,300,504,300,200,H3,3.0,1680,5040,0.1,0.25,1000,2.9807645370370373,0.639,0.01518812035770062
500,0.6,300,504,300,200,H3,3.5000000000000004,1680,5040,0.1,0.25,1000,3.525152546296296,0.801,0.012625331678811452
500,0.7,350,504,350,150,H1,2.0,1680,5040,0.1,0.25,1000,2.0113918367346937,0.97,0.0053944415837044735
500,0.7,350,504,350,150,H3,3.0,1680,5040,0.1,0.25,1000,3.0012724603174603,0.73,0.014039230748157109
500,0.7,350,504,350,150,H3,3.5000000000000004,1680,5040,0.1,0.25,1000,3.500212738095238,0.843,0.01150439046625244
500,0.8,400,504,400,100,H1,2.0,1680,5040,0.1,0.25,1000,2.025600793650794,0.975,0.004937104414532877
500,0.8,400,504,400,100,H3,3.0,1680,5040,0.1,0.25,1000,2.9803552083333336,0.771,0.013287550564344055
500,0.8,400,504,400,100,H3,3.5000000000000004,1680,5040,0.1,0.25,1000,3.5209847569444443,0.892,0.009815090422405694
600,0.4,240,504,240,360,H1,2.0,1680,5040,0.1,0.25,1000,1.9900616732804233,0.877,0.010386096475577337
600,0.4,240,504,240,360,H3,3.0,1680,5040,0.1,0.25,1000,3.040848148148148,0.561,0.015693278816104682
600,0.4,240,504,240,360,H3,3.5000000000000004,1680,5040,0.1,0.25,1000,3.5208037037037037,0.686,0.01467664811869522
600,0.5,300,504,300,300,H1,2.0,1680,5040,0.1,0.25,1000,2.0154681216931216,0.946,0.0071473071852271785
600,0.5,300,504,300,300,H3,3.0,1680,5040,0.1,0.25,1000,3.0051852314814815,0.653,0.01505293991218991
600,0.5,300,504,300,300,H3,3.5000000000000004,1680,5040,0.1,0.25,1000,3.4845479629629637,0.783,0.013034991369387246
600,0.6,360,504,360,240,H1,2.0,1680,5040,0.1,0.25,1000,2.009933972663139,0.969,0.005480784615363026
600,0.6,360,504,360,240,H3,3.0,1680,5040,0.1,0.25,1000,2.9558690200617286,0.712,0.014319776534569246
600,0.6,360,504,360,240,H3,3.5000000000000004,1680,5040,0.1,0.25,1000,3.525324537037036,0.858,0.011037934589405756
600,0.7,420,504,420,180,H1,2.0,1680,5040,0.1,0.25,1000,1.9788132086167802,0.98,0.0044271887242357325
600,0.7,420,504,420,180,H3,3.0,1680,5040,0.1,0.25,1000,2.9835426917989416,0.788,0.012925014506761683
600,0.7,420,504,420,180,H3,3.5000000000000004,1680,5040,0.1,0.25,1000,3.540289616402117,0.908,0.009139803061335619
600,0.8,480,504,480,120,H1,2.0,1680,5040,0.1,0.25,1000,1.9942685185185185,0.993,0.002636474919281427
600,0.8,480,504,480,120,H3,3.0,1680,5040,0.1,0.25,1000,3.0023508391203704,0.844,0.011474493452871897
600,0.8,480,504,480,120,H3,3.5000000000000004,1680,5040,0.1,0.25,1000,3.5074202256944442,0.925,0.00832916562447884
800,0.4,320,504,320,480,H1,2.0,1680,5040,0.1,0.25,1000,1.981928199404762,0.943,0.007331507348424336
800,0.4,320,504,320,480,H3,3.0,1680,5040,0.1,0.25,1000,2.976260720486111,0.652,0.015063067416698366
800,0.4,320,504,320,480,H3,3.5000000000000004,1680,5040,0.1,0.25,1000,3.4493212239583326,0.789,0.012902674141432851
800,0.5,400,504,400,400,H1,2.0,1680,5040,0.1,0.25,1000,1.9981793650793653,0.98,0.0044271887242357325
800,0.5,400,504,400,400,H3,3.0,1680,5040,0.1,0.25,1000,2.9550374652777776,0.761,0.01348625225924534
800,0.5,400,504,400,400,H3,3.5000000000000004,1680,5040,0.1,0.25,1000,3.498176597222222,0.89,0.009894442884771228
800,0.6,480,504,480,320,H1,2.0,1680,5040,0.1,0.25,1000,1.9974080687830686,0.994,0.002442130217658347
800,0.6,480,504,480,320,H3,3.0,1680,5040,0.1,0.25,1000,3.009497627314815,0.848,0.011353237423748348
800,0.6,480,504,480,320,H3,3.5000000000000004,1680,5040,0.1,0.25,1000,3.507624160879629,0.94,0.007509993342207438
800,0.7,560,504,504,296,H1,2.0,1680,5040,0.1,0.25,1000,2.0098993764172337,0.997,0.0017294507798720387
800,0.7,560,504,504,296,H3,3.0,1680,5040,0.1,0.25,1000,3.034610515873016,0.878,0.010349685985574635
800,0.7,560,504,504,296,H3,3.5000000000000004,1680,5040,0.1,0.25,1000,3.5113802579365085,0.945,0.007209368904418752
800,0.8,640,504,504,296,H1,2.0,1680,5040,0.1,0.25,1000,2.0046230158730163,0.997,0.0017294507798720387
800,0.8,640,504,504,296,H3,3.0,1680,5040,0.1,0.25,1000,2.9962222222222223,0.849,0.01132249972400088
800,0.8,640,504,504,296,H3,3.5000000000000004,1680,5040,0.1,0.25,1000,3.50376388888889,0.94,0.007509993342207438
