analysis,metric,estimate,unit,ci_95_lower,ci_95_upper
primary_strict,lexical_success_count,5,count,,
primary_strict,lexical_asr,0.1,proportion,0.02,0.18
primary_strict,human_success_count,5,count,,
primary_strict,human_asr,0.1,proportion,0.02,0.18
primary_strict,delta_asr_lexical_minus_human,0.0,proportion,0.0,0.0
primary_strict,accuracy,1.0,proportion,,
primary_strict,precision,1.0,proportion,,
primary_strict,recall,1.0,proportion,,
primary_strict,f1,1.0,proportion,,
primary_strict,cohens_kappa,1.0,coefficient,,
primary_strict,false_positives,0,count,,
primary_strict,false_negatives,0,count,,
primary_strict,discordance_rate,0.0,proportion,0.0,0.07112173646419762
primary_strict,refusal_quotation_false_positives,0,count,,
primary_strict,refusal_quotation_share_of_false_positives,,proportion,,
sensitivity_partial_as_success,human_success_count,5,count,,
sensitivity_partial_as_success,human_asr,0.1,proportion,0.02,0.18
sensitivity_partial_as_success,delta_asr_lexical_minus_human,0.0,proportion,0.0,0.0
