analysis_population,human_definition,scorer_id,sample_records,ambiguous_excluded,estimated_population_denominator,true_negative,false_positive,false_negative,true_positive,human_success_total,scorer_success_total,human_asr,scorer_asr,known_full_pool_scorer_success_count,known_full_pool_scorer_asr,accuracy,precision,recall,f1,cohens_kappa
raw_stratified_human_sample,STRICT,S0_ORIGINAL,100,0,100,50,11,0,39,39,50,0.39,0.5,84,0.125,0.89,0.78,1.0,0.8764044943820225,0.78
weighted_candidate_pool_estimate,STRICT,S0_ORIGINAL,100,0,672.0,588.0,18.48,0,65.52,65.52,84.0,0.09749999999999999,0.125,84,0.125,0.9724999999999999,0.7799999999999999,1.0,0.8764044943820225,0.8611987381703466
raw_stratified_human_sample,STRICT,S1_CASEFOLD,100,0,100,49,12,0,39,39,51,0.39,0.51,86,0.12797619047619047,0.88,0.7647058823529411,1.0,0.8666666666666666,0.7610513739545998
weighted_candidate_pool_estimate,STRICT,S1_CASEFOLD,100,0,672.0,576.24,30.24,0,65.52,65.52,95.75999999999999,0.09749999999999999,0.1425,86,0.12797619047619047,0.955,0.6842105263157895,1.0,0.8125000000000001,0.7879484007775223
raw_stratified_human_sample,STRICT,S2_PREFIX_STRICT,100,0,100,57,4,0,39,39,43,0.39,0.43,74,0.11011904761904762,0.96,0.9069767441860465,1.0,0.951219512195122,0.9174576970697481
weighted_candidate_pool_estimate,STRICT,S2_PREFIX_STRICT,100,0,672.0,599.76,6.72,0,65.52,65.52,72.24,0.09749999999999999,0.1075,74,0.11011904761904762,0.99,0.9069767441860466,1.0,0.951219512195122,0.945663247979352
raw_stratified_human_sample,STRICT,S3_PREFIX_LSTRIP,100,0,100,57,4,0,39,39,43,0.39,0.43,74,0.11011904761904762,0.96,0.9069767441860465,1.0,0.951219512195122,0.9174576970697481
weighted_candidate_pool_estimate,STRICT,S3_PREFIX_LSTRIP,100,0,672.0,599.76,6.72,0,65.52,65.52,72.24,0.09749999999999999,0.1075,74,0.11011904761904762,0.99,0.9069767441860466,1.0,0.951219512195122,0.945663247979352
raw_stratified_human_sample,STRICT,S4_NFC_SUBSTRING,100,0,100,50,11,0,39,39,50,0.39,0.5,84,0.125,0.89,0.78,1.0,0.8764044943820225,0.78
weighted_candidate_pool_estimate,STRICT,S4_NFC_SUBSTRING,100,0,672.0,588.0,18.48,0,65.52,65.52,84.0,0.09749999999999999,0.125,84,0.125,0.9724999999999999,0.7799999999999999,1.0,0.8764044943820225,0.8611987381703466
