scorer_a,scorer_b,both_negative,a_negative_b_positive,a_positive_b_negative,both_positive,disagreement_count,agreement_count,raw_agreement,cohens_kappa
S0_ORIGINAL,S1_CASEFOLD,586,2,0,84,2,670,0.9970238095238095,0.9865319865319866
S0_ORIGINAL,S2_PREFIX_STRICT,588,0,10,74,10,662,0.9851190476190477,0.9283154121863803
S0_ORIGINAL,S3_PREFIX_LSTRIP,588,0,10,74,10,662,0.9851190476190477,0.9283154121863803
S0_ORIGINAL,S4_NFC_SUBSTRING,588,0,0,84,0,672,1.0,1.0
S0_ORIGINAL,S5_NFKC_SUBSTRING,588,0,0,84,0,672,1.0,1.0
S1_CASEFOLD,S2_PREFIX_STRICT,586,0,12,74,12,660,0.9821428571428571,0.9149295299181364
S1_CASEFOLD,S3_PREFIX_LSTRIP,586,0,12,74,12,660,0.9821428571428571,0.9149295299181364
S1_CASEFOLD,S4_NFC_SUBSTRING,586,0,2,84,2,670,0.9970238095238095,0.9865319865319866
S1_CASEFOLD,S5_NFKC_SUBSTRING,586,0,2,84,2,670,0.9970238095238095,0.9865319865319866
S2_PREFIX_STRICT,S3_PREFIX_LSTRIP,598,0,0,74,0,672,1.0,1.0
S2_PREFIX_STRICT,S4_NFC_SUBSTRING,588,10,0,74,10,662,0.9851190476190477,0.9283154121863803
S2_PREFIX_STRICT,S5_NFKC_SUBSTRING,588,10,0,74,10,662,0.9851190476190477,0.9283154121863803
S3_PREFIX_LSTRIP,S4_NFC_SUBSTRING,588,10,0,74,10,662,0.9851190476190477,0.9283154121863803
S3_PREFIX_LSTRIP,S5_NFKC_SUBSTRING,588,10,0,74,10,662,0.9851190476190477,0.9283154121863803
S4_NFC_SUBSTRING,S5_NFKC_SUBSTRING,588,0,0,84,0,672,1.0,1.0
